,Indicator,Type,Organization,Rating,Confidence,DateAdded,Description,Source,Tags
3304,46.252.38.244,Address,abuse.ch Feodo Tracker,3.0,47,2021-02-04T02:55:31Z,,,2021-02-04;2021-02-05;2021-02-06;2021-02-07;2021-02-08;2021-02-09;2021-02-10;2021-02-11;2021-02-12;2021-02-13;2021-02-14;2021-02-15;2021-02-16;2021-02-17;2021-02-18;2021-02-19;2021-02-20;2021-02-21;2021-02-22;2021-02-23;2021-02-24;2021-02-25;2021-02-26;2021-02-27;2021-02-28;2021-03-01;2021-03-02;2021-03-03;2021-03-04;2021-03-05;2021-03-06;2021-03-07;2021-03-08;2021-03-09;2021-03-10;2021-03-11;2021-03-12;2021-03-13;2021-03-14;2021-03-15;2021-03-16;2021-03-17;2021-03-18;2021-03-19;2021-03-20;2021-03-21;2021-03-22;2021-03-23;2021-03-24;2021-03-25;2021-03-26;
3305,95.9.185.228,Address,abuse.ch Feodo Tracker,3.0,5,2020-07-26T02:55:14Z,,,Heodo;
3306,176.31.200.130,Address,abuse.ch Feodo Tracker,3.0,5,2019-10-30T02:55:26Z,,,Heodo;
3307,181.54.245.85,Address,abuse.ch Feodo Tracker,3.0,5,2020-02-21T02:55:10Z,,,Heodo;
3308,130.204.245.137,Address,abuse.ch Feodo Tracker,3.0,5,2020-02-25T02:55:09Z,,,Heodo;
3309,79.98.24.39,Address,abuse.ch Feodo Tracker,3.0,5,2020-10-21T02:55:47Z,,,Heodo;
3310,194.190.67.75,Address,abuse.ch Feodo Tracker,3.0,17,2020-10-27T02:55:16Z,,,2021-01-26;Heodo;
3311,159.203.16.11,Address,abuse.ch Feodo Tracker,3.0,5,2020-10-27T02:55:15Z,,,Heodo;
3312,194.87.94.14,Address,abuse.ch Feodo Tracker,3.0,5,2020-09-01T02:55:11Z,,,TrickBot;
3313,177.0.241.28,Address,abuse.ch Feodo Tracker,3.0,5,2020-03-19T02:55:08Z,,,Heodo;
3314,198.199.185.25,Address,abuse.ch Feodo Tracker,3.0,5,2021-01-15T02:56:54Z,,,Heodo;
3315,186.15.52.123,Address,abuse.ch Feodo Tracker,3.0,5,2020-01-15T02:55:12Z,,,Heodo;
3316,49.243.9.118,Address,abuse.ch Feodo Tracker,3.0,5,2020-09-16T02:55:12Z,,,Heodo;
3317,24.230.141.169,Address,abuse.ch Feodo Tracker,3.0,5,2020-10-22T02:55:17Z,,,Heodo;
3318,51.68.220.244,Address,abuse.ch Feodo Tracker,3.0,5,2020-10-26T02:56:18Z,,,Heodo;
3319,163.53.180.227,Address,abuse.ch Feodo Tracker,3.0,5,2020-02-28T02:55:11Z,,,Heodo;
3320,190.128.222.14,Address,abuse.ch Feodo Tracker,3.0,5,2019-11-09T02:55:08Z,,,Heodo;
3321,210.56.10.58,Address,abuse.ch Feodo Tracker,3.0,5,2020-03-03T02:55:11Z,,,Heodo;
3322,174.53.195.88,Address,abuse.ch Feodo Tracker,3.0,5,2020-11-08T02:55:57Z,,,Heodo;
3323,94.53.130.195,Address,abuse.ch Feodo Tracker,3.0,65,2021-04-13T08:00:38Z,,,2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;
3324,117.54.250.246,Address,abuse.ch Feodo Tracker,3.0,65,2021-05-07T09:00:32Z,,,2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17;
3325,86.98.53.59,Address,abuse.ch Feodo Tracker,3.0,5,2020-11-29T02:57:10Z,,,Heodo;
3326,85.204.116.139,Address,abuse.ch Feodo Tracker,3.0,5,2021-01-09T02:56:06Z,,,TrickBot;
3327,24.26.151.3,Address,abuse.ch Feodo Tracker,3.0,5,2020-08-29T02:55:12Z,,,Heodo;
3328,95.76.142.243,Address,abuse.ch Feodo Tracker,3.0,5,2020-10-21T02:55:14Z,,,Heodo;
3329,78.187.156.31,Address,abuse.ch Feodo Tracker,3.0,5,2020-09-15T02:55:14Z,,,Heodo;
3330,51.75.33.120,Address,abuse.ch Feodo Tracker,3.0,17,2020-08-13T02:55:19Z,,,2021-01-26;Heodo;
3331,98.109.204.230,Address,abuse.ch Feodo Tracker,3.0,5,2020-08-19T02:55:11Z,,,Heodo;
3332,81.213.215.216,Address,abuse.ch Feodo Tracker,3.0,5,2019-11-05T02:55:28Z,,,Heodo;
3333,92.38.163.8,Address,abuse.ch Feodo Tracker,3.0,5,2020-06-19T02:55:11Z,,,TrickBot;
3334,190.146.92.48,Address,abuse.ch Feodo Tracker,3.0,5,2020-11-08T02:55:14Z,,,Heodo;
3335,1.234.21.73,Address,abuse.ch Feodo Tracker,3.0,65,2021-05-17T18:00:58Z,,,2021-05-17;2021-05-18;2021-05-19;2021-05-20;2021-05-21;2021-05-22;2021-05-23;2021-05-24;2021-05-25;2021-05-26;2021-05-27;2021-05-28;2021-05-29;2021-05-30;2021-05-31;2021-06-01;2021-06-02;2021-06-03;2021-06-04;2021-06-05;2021-06-06;
3336,81.17.93.134,Address,abuse.ch Feodo Tracker,3.0,5,2020-07-30T02:55:38Z,,,Heodo;
3337,198.8.91.44,Address,abuse.ch Feodo Tracker,3.0,5,2020-10-14T02:55:17Z,,,TrickBot;
3338,2.82.75.215,Address,abuse.ch Feodo Tracker,3.0,17,2020-10-28T02:55:15Z,,,2021-01-25;Heodo;
3339,201.231.70.72,Address,abuse.ch Feodo Tracker,3.0,5,2020-10-16T02:56:18Z,,,Heodo;
3340,190.96.118.15,Address,abuse.ch Feodo Tracker,3.0,5,2019-10-19T02:55:16Z,,,Heodo;
3341,105.226.188.128,Address,abuse.ch Feodo Tracker,3.0,5,2020-08-17T02:55:48Z,,,Heodo;
3342,195.123.240.252,Address,abuse.ch Feodo Tracker,3.0,5,2020-08-05T02:55:14Z,,,TrickBot;
3343,66.85.183.5,Address,abuse.ch Feodo Tracker,3.0,5,2020-11-08T02:55:14Z,,,TrickBot;
3344,178.128.23.9,Address,abuse.ch Feodo Tracker,3.0,65,2021-05-17T18:00:58Z,,,2021-05-17;2021-05-18;2021-05-19;2021-05-20;2021-05-21;2021-05-22;2021-05-23;2021-05-24;2021-05-25;2021-05-26;2021-05-27;2021-05-28;2021-05-29;2021-05-30;2021-05-31;2021-06-01;2021-06-02;2021-06-03;2021-06-04;2021-06-05;2021-06-06;
3345,172.193.79.237,Address,abuse.ch Feodo Tracker,3.0,5,2020-10-20T02:55:13Z,,,Heodo;
3346,51.75.33.122,Address,abuse.ch Feodo Tracker,3.0,5,2020-09-02T02:55:10Z,,,Heodo;
3347,36.89.182.225,Address,abuse.ch Feodo Tracker,3.0,5,2020-05-23T02:55:07Z,,,TrickBot;
3348,124.45.106.173,Address,abuse.ch Feodo Tracker,3.0,5,2020-07-21T02:55:13Z,,,Heodo;
3349,199.38.120.89,Address,abuse.ch Feodo Tracker,3.0,5,2020-10-21T02:55:13Z,,,TrickBot;
